rental_id,rental_date,month,season
2,2005-05-24 22:54:33,5,Spring
3,2005-05-24 23:03:39,5,Spring
4,2005-05-24 23:04:41,5,Spring
5,2005-05-24 23:05:21,5,Spring
6,2005-05-24 23:08:07,5,Spring
7,2005-05-24 23:11:53,5,Spring
8,2005-05-24 23:31:46,5,Spring
9,2005-05-25 00:00:40,5,Spring
10,2005-05-25 00:02:21,5,Spring
11,2005-05-25 00:09:02,5,Spring
12,2005-05-25 00:19:27,5,Spring
13,2005-05-25 00:22:55,5,Spring
14,2005-05-25 00:31:15,5,Spring
15,2005-05-25 00:39:22,5,Spring
16,2005-05-25 00:43:11,5,Spring
17,2005-05-25 01:06:36,5,Spring
18,2005-05-25 01:10:47,5,Spring
19,2005-05-25 01:17:24,5,Spring
20,2005-05-25 01:48:41,5,Spring
21,2005-05-25 01:59:46,5,Spring
22,2005-05-25 02:19:23,5,Spring
23,2005-05-25 02:40:21,5,Spring
24,2005-05-25 02:53:02,5,Spring
25,2005-05-25 03:21:20,5,Spring
26,2005-05-25 03:36:50,5,Spring
27,2005-05-25 03:41:50,5,Spring
28,2005-05-25 03:42:37,5,Spring
29,2005-05-25 03:47:12,5,Spring
30,2005-05-25 04:01:32,5,Spring
31,2005-05-25 04:05:17,5,Spring
32,2005-05-25 04:06:21,5,Spring
33,2005-05-25 04:18:51,5,Spring
34,2005-05-25 04:19:28,5,Spring
35,2005-05-25 04:24:36,5,Spring
36,2005-05-25 04:36:26,5,Spring
37,2005-05-25 04:44:31,5,Spring
38,2005-05-25 04:47:44,5,Spring
39,2005-05-25 04:51:46,5,Spring
40,2005-05-25 05:09:04,5,Spring
41,2005-05-25 05:12:29,5,Spring
42,2005-05-25 05:24:58,5,Spring
43,2005-05-25 05:39:25,5,Spring
44,2005-05-25 05:53:23,5,Spring
45,2005-05-25 05:59:39,5,Spring
46,2005-05-25 06:04:08,5,Spring
47,2005-05-25 06:05:20,5,Spring
48,2005-05-25 06:20:46,5,Spring
49,2005-05-25 06:39:35,5,Spring
50,2005-05-25 06:44:53,5,Spring
51,2005-05-25 06:49:10,5,Spring
52,2005-05-25 06:51:29,5,Spring
53,2005-05-25 07:19:16,5,Spring
54,2005-05-25 07:23:25,5,Spring
